# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 125K of event 'cycles'
# Event count (approx.): 93452432520
#
# Children      Self  Command          Shared Object          Symbol                                 
# ........  ........  ...............  .....................  .......................................
#
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] wake_up_process
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] psi_task_switch
     0.01%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] 0x00007f10bf8284d0
     0.01%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000002fff
     0.01%     0.01%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] sync_regs
     0.01%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000000215
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] __kmpc_end_reduce_nowait
     0.01%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x00000000000007ff
     0.01%     0.00%  nbody3D_1_CLANG  ld-linux-x86-64.so.2   [.] __tls_get_addr
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] _raw_spin_lock
     0.01%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] _IO_str_init_static_internal
     0.01%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] memset@plt
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] __kmpc_for_static_fini
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] i2c_dw_read_clear_intrbits
     0.01%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] _IO_no_init
     0.01%     0.01%  nbody3D_1_CLANG  libc.so.6              [.] __random
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] pick_next_entity
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079117
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d122
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000008500
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] finish_task_switch.isra.0
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000078fb7
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] rcu_core_si
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] native_write_msr
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] x86_pmu_enable
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] intel_pmu_enable_all
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] run_rebalance_domains
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] _IO_old_init
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] perf_event_task_tick
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] __tls_get_addr@plt
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] rcu_sched_clock_irq
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079155
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d15a
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000078fe2
