# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 120K of event 'cycles'
# Event count (approx.): 95286242180
#
# Children      Self  Command          Shared Object        Symbol                                
# ........  ........  ...............  ...................  ......................................
#
    98.42%    98.34%  nbody3D_1_GCC_O  nbody3D_1_GCC_Ofast  [.] move_particles._omp_fn.1
            |          
             --98.41%--move_particles._omp_fn.1

     1.18%     0.00%  nbody3D_1_GCC_O  [unknown]            [k] 0000000000000000
            |
            ---0
               |          
                --0.91%--0x7ff13bcfa7ba

     0.91%     0.91%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00000000000207b8
            |
            ---0
               0x7ff13bcfa7ba

     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] enqueue_entity
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001f31f
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf9320
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __split_vma
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [k] 0x00007fdde7ceb08b
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __x64_sys_execve
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] do_execveat_common.isra.0
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] bprm_execve
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] bprm_execve.part.0
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] exec_binprm
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] search_binary_handler
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] load_elf_binary
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] elf_map
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] vm_munmap
     0.00%     0.00%  nbody3D_1_GCC_O  libc.so.6            [.] clone3
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] restore_fpregs_from_fpstate
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] pick_next_task
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rseq_ip_fixup
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] asm_exc_page_fault
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000016ede
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc3651110c09d2677
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf0ee2
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000020797
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa79e
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000020602
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa606
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] smp_call_function_many_cond
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __x64_sys_exit_group
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] do_group_exit
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] do_exit
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] exit_mm
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] mmput
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __mmput
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] exit_mmap
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] tlb_finish_mmu
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] flush_tlb_mm_range
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] native_flush_tlb_multi
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __rcu_read_lock
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [k] 0x31302d653230392e
     0.00%     0.00%  nbody3D_1_GCC_O  libc.so.6            [.] __GI___libc_write
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __x64_sys_write
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] ksys_write
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] vfs_write
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __fsnotify_parent
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] fsnotify
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] send_to_group
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] fsnotify_handle_inode_event.isra.0
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] inotify_handle_inode_event
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __kmalloc
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __kmem_cache_alloc_node
